HAI_1_DOPC,HAI_1_ELIGCASES,HAI_1_NUMERATOR,HAI_1_SIR_Score,HAI_2_DOPC,HAI_2_ELIGCASES,HAI_2_NUMERATOR,HAI_2_SIR_Score,HAI_3_DOPC,HAI_3_ELIGCASES,HAI_3_NUMERATOR,HAI_3_SIR_Score,HAI_4_DOPC,HAI_4_ELIGCASES,HAI_4_NUMERATOR,HAI_4_SIR_Score,HAI_5_DOPC,HAI_5_ELIGCASES,HAI_5_NUMERATOR,HAI_5_SIR_Score,HAI_6_DOPC,HAI_6_ELIGCASES,HAI_6_NUMERATOR,HAI_6_SIR_Score,ZIP Code,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR,HAI_1_SIR_ComparedToNational_encode,HAI_2_SIR_ComparedToNational_encode,HAI_3_SIR_ComparedToNational_encode,HAI_4_SIR_ComparedToNational_encode,HAI_5_SIR_ComparedToNational_encode,HAI_6_SIR_ComparedToNational_encode
14507.0,12.872,11.0,0.855,11796.0,10.222,11.0,1.076,193.0,5.017,9.0,1.794,788.0,6.218,13.0,2.091,164590.0,11.941,3.0,0.251,155591.0,91.277,49.0,0.537,85306,80.0,88.0,89.0,81.0,77.0,87.0,79.0,87.0,77.0,86.0,42.0,69.0,,77.0,73.0,0.0,0.0,0.0,-1.0,1.0,1.0
5854.0,5.47,4.0,0.731,6894.0,7.127,4.0,0.561,227.0,6.162,7.0,1.136,137.0,1.149,2.0,1.741,61711.0,3.463,4.0,1.155,61711.0,27.342,8.0,0.293,85027,89.0,91.0,88.0,83.0,76.0,86.0,80.0,87.0,77.0,87.0,60.0,89.0,80.0,75.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
6205.0,5.006,2.0,0.4,7688.0,6.503,2.0,0.308,104.0,2.539,0.0,0.0,200.0,1.74,0.0,0.0,101397.0,5.294,4.0,0.756,98178.0,58.134,35.0,0.602,85375,82.0,89.0,87.0,81.0,77.0,86.0,81.0,85.0,75.0,86.0,58.0,84.0,64.0,79.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0
7843.0,5.719,0.0,0.0,9403.0,7.326,2.0,0.273,224.0,5.849,2.0,0.342,110.0,0.956,0.0,,62928.0,2.541,4.0,1.574,59123.0,34.312,14.0,0.408,85308,84.0,88.0,88.0,84.0,77.0,86.0,80.0,86.0,78.0,85.0,61.0,87.0,80.0,82.0,84.0,1.0,1.0,0.0,,0.0,1.0
2344.0,1.672,1.0,0.598,4986.0,3.633,3.0,0.826,51.0,1.321,0.0,0.0,20.0,0.183,0.0,,20182.0,1.078,0.0,0.0,20182.0,8.679,7.0,0.807,86442,83.0,88.0,85.0,81.0,73.0,81.0,76.0,82.0,75.0,81.0,71.0,90.0,43.0,86.0,98.0,0.0,0.0,0.0,,0.0,0.0
21384.0,21.836,14.0,0.641,15695.0,18.963,7.0,0.369,353.0,8.55,14.0,1.637,123.0,0.852,0.0,,83985.0,7.217,3.0,0.416,83939.0,69.869,46.0,0.658,85054,92.0,96.0,94.0,94.0,84.0,92.0,88.0,96.0,87.0,97.0,43.0,70.0,52.0,76.0,80.0,0.0,1.0,0.0,,0.0,1.0
3102.0,2.338,1.0,0.428,3347.0,2.447,0.0,0.0,,,,,,,,,24732.0,0.999,1.0,,24732.0,12.537,6.0,0.479,85206,87.0,92.0,89.0,88.0,81.0,86.0,82.0,90.0,77.0,92.0,,,,,,0.0,0.0,,,,1.0
9736.0,7.659,1.0,0.131,11542.0,9.774,0.0,0.0,134.0,4.123,0.0,0.0,133.0,1.14,0.0,0.0,59868.0,2.812,0.0,0.0,56582.0,44.563,6.0,0.135,85395,83.0,88.0,88.0,83.0,78.0,84.0,79.0,84.0,75.0,82.0,45.0,87.0,,60.0,82.0,1.0,1.0,1.0,0.0,0.0,1.0
2906.0,2.969,2.0,0.674,2554.0,3.098,0.0,0.0,31.0,0.736,0.0,,28.0,0.211,0.0,,45744.0,3.339,1.0,0.299,45744.0,22.078,8.0,0.362,85713,81.0,89.0,90.0,80.0,78.0,85.0,79.0,85.0,74.0,86.0,61.0,91.0,87.0,78.0,86.0,0.0,1.0,,,0.0,1.0
761.0,0.553,0.0,,1350.0,0.646,0.0,,,,,,,,,,16711.0,0.269,0.0,,16711.0,4.061,0.0,0.0,85755,89.0,92.0,91.0,87.0,78.0,88.0,81.0,89.0,78.0,90.0,65.0,84.0,94.0,81.0,96.0,,,,,,1.0
